# ticker	name	theme	role	flags
NYSE:CB	Chubb	40_D	QUALITY_LEADER	
NYSE:TRV	Travelers	40_D	QUALITY_LEADER	
NYSE:LLY	Eli Lilly	50_A	THEME_LEADER	
NYSE:JNJ	Johnson & Johnson	50_A	THEME_LEADER	
NYSE:MRK	Merck	50_A	QUALITY_LEADER	
NYSE:PFE	Pfizer	50_A	QUALITY_LEADER	
NYSE:ABT	Abbott Laboratories	50_B	THEME_LEADER	
NYSE:ISRG	Intuitive Surgical	50_B	QUALITY_LEADER	
NYSE:UNH	UnitedHealth Group	50_C	THEME_LEADER	
NYSE:BA	Boeing	60_A	THEME_LEADER	
NYSE:RTX	RTX	60_A	THEME_LEADER	
NYSE:LMT	Lockheed Martin	60_A	QUALITY_LEADER	
NYSE:GE	GE Aerospace	60_A	QUALITY_LEADER	
NYSE:CAT	Caterpillar	60_B	THEME_LEADER	
NYSE:DE	Deere	60_B	THEME_LEADER	
NYSE:UNP	Union Pacific	60_B	QUALITY_LEADER	
NYSE:HON	Honeywell	60_B	QUALITY_LEADER	
NYSE:UPS	United Parcel Service	60_C	THEME_LEADER	
NASDAQ:CSX	CSX	60_C	BREADTH_PROXY	
NYSE:XOM	Exxon Mobil	70_A	THEME_LEADER	
NYSE:CVX	Chevron	70_A	THEME_LEADER	
NYSE:COP	ConocoPhillips	70_A	QUALITY_LEADER	
NYSE:OXY	Occidental Petroleum	70_A	BETA_SATELLITE	
NYSE:SLB	SLB	70_B	THEME_LEADER	
NYSE:HAL	Halliburton	70_B	BETA_SATELLITE	
NYSE:LIN	Linde	80_A	THEME_LEADER	
NYSE:FCX	Freeport-McMoRan	80_A	BETA_SATELLITE	
NYSE:NEE	NextEra Energy	80_B	THEME_LEADER	
NYSE:DUK	Duke Energy	80_B	QUALITY_LEADER	
NYSE:SO	Southern Company	80_B	QUALITY_LEADER	
NYSE:AEP	American Electric Power	80_B	QUALITY_LEADER	
NYSE:AMT	American Tower	90_A	THEME_LEADER	
NYSE:PLD	Prologis	90_A	QUALITY_LEADER	
NASDAQ:COIN	Coinbase Global	95_A	THEME_LEADER	
NASDAQ:MSTR	MicroStrategy	95_A	BETA_SATELLITE	
NASDAQ:GOOG	Alphabet Class C	10_A	THEME_LEADER	ineligible:duplicate_asset: Class A already holds the Alphabet slot
NYSE:XLK	Technology Select Sector SPDR	10_A	BREADTH_PROXY	ineligible:redundant_with_member: the sector ETF adds nothing over its own leaders
